Kalimat,Tingkat Pemahaman
"Berawal dari Petrus yang merupakan salah satu murid Yesus yang paling terkenal, Gereja Katolik Roma mulai terkemuka pula.",Sudah Mahir
Petrus dikenal sebagai pemimpin dan Uskup pertama Roma.,Berkembang Sedang
"Menurut catatan sejarah, Petrus meninggal di Sirkus Nero, dekat Bukit Vatikan, di mana pada zaman sekarang dibangunan basilika sebagai dedikasi untuk Sang Petrus.",Sudah Mahir
"Kemudian umat Katolik tak ingin terus menerus berduka atas kematian Petrus, hingga Linus diangkat sebagai pengganti Petrus.",Berkembang Sedang
"Perkembangan Gereja selama berabad-abad setelah kemartiran Santo Petrus, memunculkan dua jabatan lain, yaitu imam (presbyter) dan diakon (diankonas).",Sudah Mahir
Uskup merupakan pemimpin umum keluarga Katolik lokal.,Berkembang Sedang
Tugas utamanya ialah menghimpun orang-orang Katolik dalam doa pada waktu perayaan Ekaristi.,Belum Berkembang
"Uskup dibantu para imam, yang juga memimpin perayaan Ekaristi dan mengurus pelayanan skaramen, sementara diakon menangani para janda, para yatim, dan kaum miskin.",Sudah Mahir
Tahun 250 menjadi tahun di mana Kaisar Desius mewajibkan semua warga untuk mempersembahkan korban berhala pada dewa negara.,Sudah Mahir
Orang-orang Yahudi dan Kristen banyak yang menolak.,Berkembang Sedang
Pada waktu itu pula banyak uskup meninggal sebagai martir karena imannya.,Berkembang Sedang
Contohnya Fabianus yang merupakan pemimpin ke 8 dihukum mati karena tindakannya yang memberontak.,Sudah Mahir
"Tahun 251, Kaisar Desius meninggal dunia, dan digantikan oleh Kaisar Valerianus.",Berkembang Sedang
"Tak kalah kejam dari kaisar sebelumnya, pada masa Kaisar Valerianus juga banyak terjadi penganiayaan.",Belum Berkembang
"Setelah kematian Valerianus pada tahun 260, berlangsung gencatan senjata yang diliputi rasa kekuatiran antara gereja dan kekaisaran.2 Kaisar Konstantinus naik takhta dan mengakhiri era penganiayaan.",Sudah Mahir
"Kaisar Konstantinus menguasai Romawi Barat, dan menyerukan bahwa semua bebas beribadat di wilayahnya itu.",Sudah Mahir
"Miltiades yang saat itu menjabat sebagai Uskup menerima istana Lateran, dekat dinding Kota Roma.",Sudah Mahir
"Namun berbeda dengan Kekaisaran Romawi Timur, Kaisar Licinius masih mengadakan penganiayaan terhadap orang-orang Kristen, hingga Kaisar Konstantinus pun mengerahkan tentaranya untuk mengambil kontrol di Romawi Timur.",Sudah Mahir
"Di luar permasalahan eksternal, permasalahan internal pun muncul di dalam Gereja.",Berkembang Sedang
"Terjadi perbedaan pendapat, terutama pendapat yang dikemukakan oleh Arius terkait Yesus yang diciptakan Allah, dan menyangkal keilahian Kristus.",Sudah Mahir
"Kaisar Konstantinus dan para Uskup khawatir, pasalnya Arius dengan cepat menggaet banyak umat.",Berkembang Sedang
Permasalahan ini berlangsung lebih dari satu abad.,Berkembang Sedang
Di era Kekaisaran Romawi ini telah tercetus wacana negara agama.,Berkembang Sedang
"Ketika Kaisar Theodosius berkuasa, dan Damasus I menjadi uskup Roma, Damasus ingin memanfaatkan hubungan baiknya dengan kaisar.",Sudah Mahir
"Meskipun secara perlahan, sedikit demi sedikit tempat pemujaan berhala mulai ditutup.",Berkembang Sedang
"Dapat dikatakan bahwa akhir abad ke 4 Kristen telah kuat, dan gelar paus mulai diberikan untuk uskup Roma sebagai pemimpin tertinggi Gereja Katolik.",Sudah Mahir
"Kekaisaran Roma mulai menurun pada abad ke 5, dan keuskupan harus berusaha sendiri tanpa bergantung pada kekaisaran.",Berkembang Sedang
"Namun pada tahun 440 ketika posisi Paus berada di tangan Leo I, dia berusaha untuk dapat mempertahankan keuskupan.",Sudah Mahir
Bertepatan dengan tugasnya melalui misi diplomatik ke Perancis sebagai utusan dari Kaisar Valentinus III menunjukkan peran pentinganya atas kepemimpinan Gereja.,Belum Berkembang
"Pada akhirnya, Kekaisaran Romawi berakhir pada tahun 476 dengan Romulus Augustus sebagai kaisar terakhirnya.",Belum Berkembang
"Di samping berakhirnya Kekaisaran Romawi Barat, Romawi Timur justru berkembang.",Berkembang Sedang
Sementara orang-orang Romawi Barat khawatir jika kaisar Romawi Timur akan melakukan invasi ke Romawi Barat.,Sudah Mahir
"Paus Agapitus I pun melakukan negosiasi dengan kaisar Romawi Timur atau Byzantium, tetapi tujuannya gagal.",Berkembang Sedang
"Justius I sebagai Kaisar Romawi Timur menguasai atas wilayah Italia, sehingga keuskupanpun tak dapat dipisahkan dari politik Gereja Byzantium.",Sudah Mahir
"Setelah meninggalnya Justinus I pada tahun 565, kekuasaan Romawi Timur atas Italia pun pupus.",Sudah Mahir
"Selama periode Romawi, daerah di luar kota Roma direklamasi.",Berkembang Sedang
"Nero (54-68 M) membangun vila-vila, taman, dan sebuah nekropolis hingga menjadi sebuah sirkus kecil.",Berkembang Sedang
"Pada 324 M, Kaisar Konstantin membangun sebuah gereja besar hingga secara berangsur sirkus kecil Nero pun runtuh.",Belum Berkembang
"Adapun cerita seorang Petrus yang menderita akibat penganiayaan yang diperintahkan Nero telah mencuri perhatian peziarah Kristen, dan kebanyakan dari mereka ingin untuk berada di dekat Santo Petrus.",Sudah Mahir
"Untuk mengenang Peter, Leo IV (847-855) membangun dinding ""sivitas"" bernama ""Leonina"" yang menjadi pusat spiritual Romawi abad pertengahan dan Renaisans.",Sudah Mahir
"Di abad pertengahan, keuskupan justru mengalami ketegangan politik.",Berkembang Sedang
Romawi Timur masih menguasai beberapa wilayah di sekitar Roma.,Berkembang Sedang
"Ketika Martinus I menjadi paus, terjadi ketegangan dengan Kaisar Konstan II di mana pada pertemuan para uskup terdapat kritikan terkait teologi kerajaan.",Sudah Mahir
Martinus I pun meninggal setelah dikurung dan diadili.,Berkembang Sedang
Hubungan baik terjalin kembali antara Roma dengan Konstantinopel dibangun oleh Paus Vitalian.,Belum Berkembang
"Dengan menyusutnya kekuasaan kekaisaran di Semenanjung Italia, Kepausan semakin sulit mempertahankan Roma dari invansi tetangga Jermannya, bangsa Lombard.",Belum Berkembang
"Pada tahun 739, Paus Gregorius III tidak tidak berhasil membujuk Charles Martel, raja bangsa Frank (masyarakat Jerman yang berdiam di wilayah Perancis saat ini).",Sudah Mahir
"Setelah bangsa Lombard merebut kota kekaisaran Revenna, Stefanus II yang menjadi Paus saat itu melakukan perjalanan ke Paris dalam usaha mencari bantuan.",Sudah Mahir
Pada akhirnya paus diberikan wilayah yang dikuasai bangsa Lombard.,Berkembang Sedang
"Atas bantuan pemimpin bangsa Frank, wilayah itu menjadi negara dengan basis kepausan.",Belum Berkembang
"Pada masa kekaisaran Romawi baru, terjadi kembali ketegangan antara Paus dengan bangsa Roma, Paus yang kala itu dijabat oleh Leo III dituduh melakukan pelanggaran dan perzinahan.",Sudah Mahir
"Paus berusaha melindungi dirinya dan meminta bantuan, termasuk kepada Charlemagne yang memerintah bangsa Frank.",Sudah Mahir
Charlemagne pun memberikan bantuan hingga Leo III memberinya gelar “Kaisar Roma”.,Berkembang Sedang
Sejak saat itu terciptalah Kekaisaran Romawi Suci.,Berkembang Sedang
"Tak terlepas dari cerita historis episode luar biasa, tahun 1905, ketika konsili di Clermont di Perancis berlangsung, Paus Urbanus II membawa para uskup ke tanah lapang di luar tembok kota.",Sudah Mahir
Dia berbicara di atas podium dan meminta para pendengarnya untuk melakukan ekspedisi militer ke Tanah Suci guna membebaskan Yerusalem dari tangan orang-orang Muslim.,Sudah Mahir
"Hanya dalam waktu dua kemudian, ribuan orang ikut dalam Perang Salib.",Berkembang Sedang
Mereka mengangkat salib dan bergabung dalam ziarah bersenjata menuju ke Tanah Suci.,Berkembang Sedang
"Paus Urbanus II tersebut meningga pada tahun 1099, dan digantikan oleh Pakalis II, selanjutnya Innosensius yang berfokus pada tugas pembaruan gereja.",Sudah Mahir
Perkembangan budaya berkembang pesat di Italia.,Belum Berkembang
Banyak pelajar dan seniman serta pemikir yang mewarnai era Renaisans ini.,Berkembang Sedang
Nikolas V sebagai paus pun termasuk salah satu bagian dalam era ini.,Belum Berkembang
Sang Paus pun membawa dan memperkenalkan Renaisans ke Vatikan.,Berkembang Sedang
Peran para paus tidak dapat dipisahkan dari Renaisans.,Berkembang Sedang
"Banyak kontribusi para paus yang menghasilkan kesenian, seperti dalam bidang arsitektur yang terbukti dengan adanya Kapel Sistina di Negara Kota Vatikan.",Sudah Mahir
"Namun di samping itu, tahun 1439, adanya ancaman dari Kerajaan Turki Utsmaniyah menjadi masalah yang cukup besar.",Sudah Mahir
Perang Salib baru terjadi dengan dipimpin oleh Paus Pius II melawan Turki.,Belum Berkembang
Jatuhnya Konstantinopel merupakan akhir dari Perang Salib ini.,Berkembang Sedang
Peristiwa ini terjadi di era Renaisans.,Belum Berkembang
"Beralih pada zaman pencerahan, perang tiga puluh tahun menjadi salah satu episode penting dalam aspek historis Negara Kota Vatikan, bahkan dunia.",Belum Berkembang
"Selama tiga dekade, sepanjang masa pontifikat penggantinya, Innosensius X, Eropa terlibat dalam konflik agama yang sengit.",Sudah Mahir
Perseteruan telah terjadi pada tahun 1618 antara penguasa Katolik dan Protestan.,Berkembang Sedang
Konflik itu secara perlahan menyebar ke sepanjang daratan Eropa.,Berkembang Sedang
Hal ini menyebabkan negara-negara bertetangga saling bertentangan dan mencampur ketegangan religius dengan percekcokan politik dan dinasti.,Berkembang Sedang
Perang Tiga Puluh Tahun akhirnya berakhir dengan Perjanjian Westphalia pada tahun 1648.,Belum Berkembang
"Zaman Pencerahan pula termasuk adanya Revolusi Perancis, dimana tatanan Eropa hancur.",Berkembang Sedang
Paus Pius VI meyakinkan bahwa Negara Kepausan berada di dalam ekonomi yang tepat dan kuat.,Sudah Mahir
Wilayah Gereja Katolik di Perancis diambil alih oleh pemerintah Perancis.,Berkembang Sedang
"Namun pada tahun 1794, jatuhnya Robespierre menandakan bahwa beberapa tempat ibadat Katolik di Perancis telah kembali.",Sudah Mahir
"Di sisi lain, ada pasukan Perancis yang memasuki wilayah Roma yang kemudian membentuk Republik Roma atas pengawasan dari pemerintah Perancis.",Sudah Mahir
"Pada abad ke 19, penyatuan Italia berkembang sangat pesat.",Berkembang Sedang
Adapun kerajaan di bagian utara Italia memberikan pasukannya untuk mengontrol secara umum wilayah Italia.,Sudah Mahir
"Tahun 1861, Giuseppe Garibali yang merupakan seorang prajurit Italia mengumumkan bahwa Italia beribukota Roma.",Sudah Mahir
Hingga akhirnya keberhasilan mempertasukan Italia dan memiliki ibukota bernama Roma.,Berkembang Sedang
Pemerintah Italia pun tetap mengizinkan wilayah kepausan di bagian dalam dinding-dinging Kota Roma.,Belum Berkembang
"Selanjutnya, tahun 1914 terjadi Perang Dunia I, di tahun itu pula Paus Pius X meninggal dunia dan digantikan oleh Paus Benekditus XV.",Berkembang Sedang
Paus Benekditus XV ikut berperan dalam memperjuangkan perdamaian dan pemberian bantuan terhadap korbat akibat perang besar tersebut.,Berkembang Sedang
"Selain hal tersebut, Paus Benekditus juga mendukung adanya rekonsiliasi internasional termasuk untuk membentuk sebuah organisasi atau lembaga internasional, yang dalam konteks ini adalah Liga Bangsa-Bangsa.",Sudah Mahir
"Namun tak melupakan wilayah Kepausannya, Sang Paus sangat berwaspada dari pengaruh perang terhadap netralitas Kepausannya.",Belum Berkembang
Paus Benekditus XV memiliki jiwa keperdulian dan perdamaian yang cukup tinggi sehingga sangat dikenang oleh seluruh umat Katolik dunia.,Sudah Mahir
"Pada saat Pius XI memegang posisi paus tahun 1922, tujuh tahun berikutnya Negara Kota Vatikan resmi berdiri sendiri, berdaulat, dan menjadi sebuah negara yang independen.",Sudah Mahir
Perjanjian Lateran yangditandatangani oleh Kepausan yang diwakili Kardinal Pietro Gasparri dan Benito Mussolini selaku Perdana Menteri Italia menjadi bukti dari pengakuan atas kedaulatan Negara Kota Vatikan yang independen dan memiliki status khusus dalam Katolikisme dunia.,Sudah Mahir
"Negara Kota Vatikan merupakan sebuah negara di Eropa Selatan tepatnya berada di dalam Kota Roma, Italia, yang memiliki keistimewaan dengan posisinya sebagai pusat agama Katolik dunia.",Sudah Mahir
"Luas wilayah Negara Kota Vatikan yaitu 400 hektare atau 0,44 kilometer persegi.",Berkembang Sedang
Hal ini mengakibatkan Negara Kota Vatikan dijuluki sebagai negara terkecil di dunia.,Belum Berkembang
"Negara ini berada di dalam Kota Roma, Italia sehingga hanya berbatasan dengan satu negara saja, yaitu Italia.",Sudah Mahir
Wilayah Negara Kota Vatikan termasuk Lapangan Santo Petrus.,Berkembang Sedang
Hampir setengah wilayah Negara Kota Vatikan dipenuhi taman.,Berkembang Sedang
Batas-batas wilayah Negara Kota Vatikan umumnya mengikuti tembok perlindungan yang dibangun pada abad ke 16.,Sudah Mahir
Barisan granit yang merupakan pinggiran luar Lapangan Santo Petrus menjadi tanda perbatasan antara Negara Kota Vatikan dengan Kota Roma.,Sudah Mahir
"Memang seperti negara pada umumnya, Negara Kota Vatikan memiliki unsur pokok sebuah negara yaitu adanya wilayah.",Belum Berkembang
"Meskipun memiliki wilayah yang kecil, tetapi Negara Kota Vatikan memiliki arsitektur bangunan-bangunan sejarah yang cukup terkenal.",Sudah Mahir
"Adapun bangunan-bangunan yang cukup tenar yang terdapat di Negara Kota Vatikan yaitu Basilika Santo Petrus, Kapel Sistina, Museum Vatikan, dan Taman Vatikan.",Sudah Mahir
"Negara Kota Vatikan merupakan salah satu negara dengan luas wilayah terkecil di dunia, tetapi dengan jumlah penduduk yang cukup padat jika dikaitkan dengan luas wilayahnya yang kecil.",Sudah Mahir
Adapun perbandingan penduduk Negara Kota Vatikan yang berkewarganegaraan asli Vatikan dengan penduduk yang bukan warga Negara Kota Vatikan hampir mencapai 4:3.,Sudah Mahir
Warga Negara Kota Vatikan sedikit lebih banyak dari penduduk bukan warga Negara Kota Vatikan.,Belum Berkembang
Hal tersebut menjadi suatu keunikan bagi sebuah negara di Eropa Selatan ini.,Belum Berkembang
"Penduduk Negara Kota Vatikan sekitar 800 orang,lebih dari 450 memiliki kewarganegaraan Vatikan, sementara sisanya memiliki izin untuk tinggal di negara tersebut, baik untuk sementara atau selamanya, tanpa kepentingan kewarganegaraan.",Sudah Mahir
"Sekitar setengah dari warga Negara Kota Vatikan tidak tinggal di negaranya, dikarenakan pekerjaan yang sebagian besar sebagai personil diplomatik, sehingga mereka tinggal di berbagai negara di seluruh dunia.",Sudah Mahir
"Hilangnya kewarganegaraan, otorisasi untuk tinggal di dalam Kota Vatikan dan formalitas untuk memasuki wilayah tersebut, diatur oleh peraturan khusus sesuai dengan Perjanjian Lateran.",Sudah Mahir
Jumlah penduduk Negara Kota Vatikan setiap tahunnya tidak memiliki perubahan yang cukup signifikan.,Sudah Mahir
"Dengan kata lain, jumlah penduduk di negara para paus tersebut relatif stabil.",Belum Berkembang
"Mayoritas penduduk Negara Kota Vatikan beragama Katolik, karena memang didominasi oleh orang-orang yang bekerja atau memiliki kepentingan terkait pelayanan Gereja, dan para pemilik kepentingan dalam hubungan diplomatik.",Sudah Mahir
"Terkait bahasa yang digunakan, meskipun tidak memiliki bahasa resmi menurut undang-undang, Negara Kota Vatikan mengumumkan peraturan perundang-undangannya dengan menerbitkannya dalam bahasa Italia.",Sudah Mahir
"Di sisi lain, Takhta Suci menggunakan bahasa Latin untuk dokumen resmi yang paling penting.",Sudah Mahir
"Di sisi lain, Takhta Suci menggunakan bahasa Latin untuk dokumen resmi yang paling penting.",Sudah Mahir
"Namun, banyak bahasa lain digunakan di dalam tembok kota, karena rekrutan Kepausan Kepolisian Swiss mengambil sumpah mereka dalam bahasa kanton Swiss yang menjadi milik mereka, seperti Jerman, Prancis atau Italia.",Sudah Mahir
"Di situs resminya, Kota Vatikan menggunakan bahasa Italia, Inggris, Prancis, Jerman, dan Spanyol, sementara situs resmi Tahta Suci menambahkan bahasa Latin, Portugis dan bahkan bahasa Cina.",Berkembang Sedang
"Berdasarkan hasil wawancara dengan Romo Bernhard Kieser, S J selaku Pastor dan Paroki Gereja Katolik Santo Antonius Padua Kotabaru, Yogyakarta, peneliti mendapatkan data terkait penduduk Negara Kota Vatikan yang memang didominasi oleh orang-orang untuk pelayanan gereja dan pemilik kepentingan diplomatik.",Sudah Mahir
Romo Kieser mengungkapkan bahwa cukup sedikit penduduk yang berkewarganegaraan Vatikan.,Berkembang Sedang
"Bahkan kepala negara sekalipun, tidak memiliki ketentuan yang mengharuskan berkewarganegaraan Vatikan.",Berkembang Sedang
"Namun, ketika sesorang bertugas di negara tersebut, dapat memperoleh kewarganegaraan karena jabatan atau kedudukannya yang memiliki kepentingan pelayanan gereja.",Sudah Mahir
"Selain pekerjaan untuk melayani gereja dan umat serta dalam hal diplomasi dari negara lain, adapula seperti fotografer Paus, perestorasi lukisan, dan pekerja kebun di Taman Vatikan.",Sudah Mahir
Tak dapat dipisahkan pula Garda Swiss yang berperan dalam menjaga keamanan Negara Kota Vatikan.,Sudah Mahir
"Pada dasarnya, penduduk yang menempati kota suci ini merupakan orang-orang yang memiliki kedudukan dan kepentingan atas gereja dan negara.",Sudah Mahir
"Pada 1929, Negara Kota Vatikan berhasil berdiri sendiri sebagai negara merdeka yang memiliki kedaulatan.",Sudah Mahir
Negara sebagai pusat agama Katolik ini menerapkan sistem politik teokrasi dalam menjalankan roda pemerintahanna.,Belum Berkembang
"Terlepas dari aspek kepentingan agama, Negara Kota Vatikan pun tidak mengabaikan aspek kenegaraanya.",Belum Berkembang
"Terbukti dengan adanya struktur Kepala Negara, dan peran administrator Kuria Roma sebagai badan pemerintahan Gereja Katolik.",Berkembang Sedang
"Paus merupakan orang tertinggi di Negara Kota Vatikan, bahkan untuk seluruh umat Katolik dunia.",Sudah Mahir
"Namun dalam perspektif negara, Paus menjabat sebagai bapak sepiritual juga sebagai kepala negara.",Belum Berkembang
Paus memiliki otoritas tertinggi atas Gereja Universal (seluruh dunia).,Berkembang Sedang
"Paus memiliki wewenang untuk mengangkat ataupun memecat sekretaris negara, dan presiden Komisi Kepausan.",Sudah Mahir
Otoritas eksekutif didelegasikan ke Governorate Vatican City.,Berkembang Sedang
"Governorate terdiri dari Presiden Komisi Kepausanyang bergelar ""Presiden Gubernur Kota Vatikan"", Sekretaris Jenderal, dan seorang Wakil Sekretaris Jenderal, masing-masing ditunjuk oleh paus selama lima tahun.",Berkembang Sedang
Tindakan penting dari Gubernur harus dikonfirmasi oleh Komisi Kepausan dan oleh Paus melalui Sekretariat Negara.,Berkembang Sedang
Gubernur bertugas mengawasi fungsi pemerintah pusat melalui beberapa departemen dan kantor.,Berkembang Sedang
"Selain itu, Gubernur memiliki wewenang untuk mengawasi sebuah korps keamanan dan polisi modern.",Sudah Mahir
"Fungsi yudisial didelegasikan ke pengadilan tertinggi, pengadilan banding, pengadilan, dan hakim pengadilan.",Berkembang Sedang
"Dalam semua kasus, paus dapat memilih kapanpun untuk menjalankan fungsi legislatif, eksekutif, atau yudisial tertinggi.",Sudah Mahir
Kuria Roma merupakan badan pemerintahan pada Gereja Katolik yang dipimpin oleh seorang Secretary of State/Sekretaris Negara.,Sudah Mahir
"Badan pemerintahan ini terbagi atas beberapa biro, yaitu Congregatios/Kongregasi, Pontifical Councils/Dewan Kepausan, dan Pontifical Commisionas/Komisi Kepausan.",Berkembang Sedang
"Kuria Roma sendiri bertugas sebagai fasilitator hubungan Negara Kota Vatikan dengan seluruh umat Katolik di dunia.Sekretaris Negara merupakan orang kedua tertinggi di Negara Kota Vatikan, yang mana menjabat sebagai pemimpin badan pemerintahan Gereja Katolik.",Sudah Mahir
"Dalam pengangkatan Sekretaris Negara sendiri dipilih oleh Paus, dan dpat diberhentikan pula oleh Paus.",Berkembang Sedang
"Adapun tugas dari Sekretaris Negara yaitu sebagai deputi kepala Paus, dan bertanggungjawab atas jalannya Gereja.",Berkembang Sedang
dibantu oleh Kesekretariatan yang terdiri atas 70 orang pekerja.,Berkembang Sedang
"Kesekretariata ini dibagi menjadi 2 (dua) yaitu urusan internal dalam Gereja, dan urusan dengan hubungan internasional.",Berkembang Sedang
Kongregasi atau di negara pada umumnya disebut kementerian bertugas mengatur hubungan dengan gereja-gereja lokal.,Berkembang Sedang
"Kongregasi Neagara Vatikan initerdiri dari 9 (sembilan) kongregasi, di antaranya yaitu Kongregasi Pendidikan, Kongregasi Ibadah Ilahi, dan Kongregasi Lembaga-lembaga Hidup Bakti dan Serikat Hidup Kerasulan.",Berkembang Sedang
"Setiap kongregasi dipimpin oleh seorang Prefek Kardinal, dan dibantu oleh staf-stafnya.",Berkembang Sedang
"Dewan-dewan Kepausan disusun menyusul reformasi pada Konsili Vatikan II (1962-1965) dan menjawab isu dan permasalahan, seperti ekumene, etika, dan keadaan sosial.",Berkembang Sedang
"Ada 5 (lima) Dewan Kepausan Negara Kota Vatikan, yaitu Dewan Kepausan untuk Pengembangan Persatuan Kristen, Dewan Kepausan untuk Dialog Antar-umat Beragama, Dewan Kepausan untuk Perdamaian dan Keadilan, dan Dewan Kepausan Cor Onum, serta Dewan Kepausan untuk Bantuan bagi Pekerja Kesehatan.",Sudah Mahir
"Dewan-dewan Kepausan ini pada dasarnya terbentuk untuk membangun, memperhatikan, serta menjawab dari bebagai permasalahan.",Sudah Mahir
"Kekuatan legislatif berada di Komisi Kepausan Negara Kota Vatikan, yang dipimpin oleh seorang presiden.",Sudah Mahir
Anggota adalah kardinal yang ditunjuk oleh Paus untuk jangka waktu lima tahun.,Sudah Mahir
"Semua tindakan yang diambil ataupun dilakukan komisi harus disetujui oleh Paus, melalui Sekretariat Negara.",Sudah Mahir
"Komisi Kepausan bertugas mengawasi berbagai aspek di Negara Kota Vatikan, seperti penyediaan kebutuhan umat, dan melestarikan warisan Gereja.",Berkembang Sedang
Kongregasi atau di negara pada umumnya disebut kementerian bertugas mengatur hubungan dengan gereja-gereja lokal.,Berkembang Sedang
"Kongregasi Neagara Vatikan initerdiri dari 9 (sembilan) kongregasi, di antaranya yaitu Kongregasi Pendidikan, Kongregasi Ibadah Ilahi, dan Kongregasi Lembaga-lembaga Hidup Bakti dan Serikat Hidup Kerasulan.",Berkembang Sedang
"Setiap kongregasi dipimpin oleh seorang Prefek Kardinal, dan dibantu oleh staf-stafnya.",Berkembang Sedang
"Dewan-dewan Kepausan disusun menyusul reformasi pada Konsili Vatikan II (1962-1965) dan menjawab isu dan permasalahan, seperti ekumene, etika, dan keadaan sosial.",Berkembang Sedang
"Ada 5 (lima) Dewan Kepausan Negara Kota Vatikan, yaitu Dewan Kepausan untuk Pengembangan Persatuan Kristen, Dewan Kepausan untuk Dialog Antar-umat Beragama, Dewan Kepausan untuk Perdamaian dan Keadilan, dan Dewan Kepausan Cor Onum, serta Dewan Kepausan untuk Bantuan bagi Pekerja Kesehatan.",Sudah Mahir
"Dewan-dewan Kepausan ini pada dasarnya terbentuk untuk membangun, memperhatikan, serta menjawab dari bebagai permasalahan.",Sudah Mahir
"Kekuatan legislatif berada di Komisi Kepausan Negara Kota Vatikan, yang dipimpin oleh seorang presiden.",Sudah Mahir
Anggota adalah kardinal yang ditunjuk oleh Paus untuk jangka waktu lima tahun.,Sudah Mahir
"Semua tindakan yang diambil ataupun dilakukan komisi harus disetujui oleh Paus, melalui Sekretariat Negara.",Sudah Mahir
"Komisi Kepausan bertugas mengawasi berbagai aspek di Negara Kota Vatikan, seperti penyediaan kebutuhan umat, dan melestarikan warisan Gereja.",Berkembang Sedang
"Mitologi Yunani, kumpulan cerita tentang para dewa, pahlawan, dan ritual Yunani kuno dan zaman klasik.",Berkembang Sedang
"Bahwa mitos-mitos tersebut mengandung banyak unsur fiksi diakui oleh orang -orang Yunani yang lebih kritis, seperti filsuf Plato pada abad ke 5 hingga ke 4 SM.",Sudah Mahir
